City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,80.6,clear sky,-9.8,-139.03,Villa Enata
3,Cilegon,ID,78.8,haze,-6.02,106.05,Forbis Hotel
4,Carutapera,BR,77.54,scattered clouds,-1.2,-46.02,Lidera
6,Zhanaozen,KZ,80.37,clear sky,43.3,52.8,K.korabay 28A
7,Tual,ID,79.07,broken clouds,-5.67,132.75,Grand Vilia Hotel
12,Eydhafushi,MV,83.39,overcast clouds,5.1,73.07,Soneva Fushi
15,Baijiantan,CN,75.49,overcast clouds,45.63,85.18,
16,Mitsamiouli,KM,77.52,clear sky,-11.38,43.28,Foyer ADM
19,Palmer,US,88.0,scattered clouds,42.16,-72.33,Wedgewood Motel
23,Jamestown,US,75.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
25,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
31,Faanui,PF,79.16,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Bethel,US,88.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
39,Albany,US,90.0,clear sky,42.6,-73.97,
44,Pacific Grove,US,75.2,clear sky,36.62,-121.92,Lovers Point Inn
45,Port Hawkesbury,CA,79.0,scattered clouds,45.62,-61.35,Hearthstone Inn Port Hawkesbury
56,Altamont,US,82.99,clear sky,42.21,-121.74,Microtel Inn & Suites by Wyndham Klamath Falls
57,Caruray,PH,79.66,overcast clouds,10.31,119.01,
58,Mahibadhoo,MV,83.55,overcast clouds,3.78,72.97,Omadhoo Inn
60,Hithadhoo,MV,85.28,overcast clouds,-0.6,73.08,Scoop Guest House
61,Erzin,TR,80.01,few clouds,36.96,36.2,Artemis Otel
75,Kavieng,PG,82.36,overcast clouds,-2.57,150.8,Nusa Island Retreat
76,Maceio,BR,77.0,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
81,Vila Velha,BR,77.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
85,Griffith,US,77.0,scattered clouds,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
87,Komsomolskiy,UZ,75.2,overcast clouds,40.43,71.72,Ikathouse
92,Taybad,IR,75.04,clear sky,34.74,60.78,لی پوش jean center
99,Butaritari,KI,83.35,scattered clouds,3.07,172.79,Isles Sunset Lodge
101,Tautira,PF,84.2,scattered clouds,-17.73,-149.15,Pension Oaoa
106,Great Falls,US,77.0,clear sky,47.5,-111.3,La Quinta Inn & Suites by Wyndham Great Falls
110,Sabha,LY,88.84,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
112,Victoria,HK,82.0,few clouds,22.29,114.16,Mini Hotel Central
113,Tiznit,MA,85.98,overcast clouds,29.58,-9.5,
114,San Patricio,MX,87.8,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
131,Thunder Bay,CA,77.0,scattered clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
136,Labuhan,ID,75.38,broken clouds,-6.88,112.21,bador sepret
139,Port Blair,IN,81.91,overcast clouds,11.67,92.75,Hotel Sentinel
140,Robat Karim,IR,86.0,broken clouds,35.48,51.08,آپارتمان
142,Lingao,CN,80.35,clear sky,19.91,109.69,Lingao Ditai Inn
145,Mbour,SN,80.6,light rain,14.42,-16.96,Tama Lodge
146,Naze,JP,80.6,scattered clouds,28.37,129.48,奄美ポートタワーホテル
156,Kupang,ID,75.49,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
158,Marsh Harbour,BS,79.74,overcast clouds,26.54,-77.06,Abaco Beach Resort
162,Cascais,PT,75.99,clear sky,38.7,-9.42,Hotel Vila Galé Cascais
168,San Cristobal,VE,87.8,thunderstorm,7.77,-72.22,Pirineos
170,North Bend,US,77.0,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
172,Yavatmal,IN,81.16,overcast clouds,20.4,78.13,Palash Inn
173,Damaturu,NG,78.42,few clouds,11.75,11.96,Summit Conference Centre
175,Pochutla,MX,88.0,broken clouds,15.74,-96.47,Hotel Posada San Jose
176,Fergus Falls,US,82.0,clear sky,46.28,-96.08,AmericInn by Wyndham Fergus Falls Conference Center
177,Manta,EC,76.44,broken clouds,-0.95,-80.73,Balandra Hotel
178,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
180,Arraial Do Cabo,BR,82.4,broken clouds,-22.97,-42.03,Pousada Porto Praia
184,Hudson Bay,CA,79.34,overcast clouds,52.85,-102.38,Norwood Motel LTD
185,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
189,Qiongshan,CN,80.6,clear sky,20.01,110.35,Sun City Restaurant
193,Kilindoni,TZ,77.45,clear sky,-7.91,39.67,Bustani B&B
194,Salalah,OM,82.4,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
204,Kalmunai,LK,81.88,overcast clouds,7.42,81.82,VS Villa
220,Tabou,CI,75.38,overcast clouds,4.42,-7.35,hotêl doufoulougou
228,Laurel,US,89.01,clear sky,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
229,Bud,US,82.99,clear sky,39.45,-86.18,Madsion Scouts Camp
230,Zhangye,CN,75.54,overcast clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
235,Portobelo,PA,86.0,broken clouds,9.55,-79.65,La Finca
246,Blackfoot,US,84.2,clear sky,43.19,-112.34,Super 8 by Wyndham Blackfoot
248,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
250,Ixtapa,MX,88.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
251,Asyut,EG,84.78,clear sky,27.18,31.18,Florence Hotel Assiut
252,Havre-Saint-Pierre,CA,75.2,few clouds,50.23,-63.6,Auberge Niapiskau
261,Davila,PH,82.63,overcast clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
262,Mecca,SA,81.43,broken clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
267,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
268,Bay City,US,80.6,scattered clouds,43.59,-83.89,DoubleTree by Hilton Hotel Bay City - Riverfront
274,Am Timan,TD,78.66,few clouds,11.03,20.28,
275,Mao,ES,75.2,broken clouds,39.89,4.27,ARTIEM Capri
278,Nicoya,CR,86.0,scattered clouds,10.15,-85.45,Guayacan Real
285,Buchanan,LR,77.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
287,Champerico,GT,89.6,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
295,Broome,US,82.99,few clouds,42.25,-75.83,Chenango Valley State Park
297,Puri,IN,78.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
301,Puerto Maldonado,PE,84.99,overcast clouds,-12.6,-69.18,Wasai Hotel
306,Roma,US,82.4,broken clouds,43.21,-75.46,Wingate By Wyndham Rome
308,Abnub,EG,85.08,clear sky,27.27,31.15,Romany Adly Gad
310,Karangasem,ID,78.8,scattered clouds,-8.45,115.62,Villa Campuhan
315,Makakilo City,US,84.2,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
320,Gat,IL,78.01,clear sky,31.61,34.76,רגע בנחת
321,Hamilton,US,86.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
322,Kolondieba,ML,76.95,few clouds,11.09,-6.89,Hotel Dakan
324,Villa Del Rosario,CO,87.8,thunderstorm,7.83,-72.47,Hotel Villas de San Diego
325,Morden,CA,82.4,scattered clouds,49.19,-98.1,Morden Motor Inn
339,Castries,LC,86.0,scattered clouds,14.0,-61.01,Marigot Beach Club & Dive Resort
344,Guerrero Negro,MX,87.15,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
348,Formosa,AR,77.0,overcast clouds,-26.18,-58.18,Asterión Hotel
350,Fez,MA,87.8,few clouds,34.04,-5.0,Hotel Mounia Fès
351,Maine-Soroa,NE,84.51,scattered clouds,13.21,12.02,
352,Khair,IN,89.8,broken clouds,27.95,77.83,"Jindal Guest House, Khair"
362,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
367,Alexandria,EG,77.49,clear sky,31.22,29.96,Mediterranean Azur Hotel
378,Puerto Escondido,MX,84.2,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
379,Lagos,NG,78.8,few clouds,6.58,3.75,
380,Hobyo,SO,79.83,scattered clouds,5.35,48.53,Osmani Hotel
382,Tamiahua,MX,87.37,few clouds,21.27,-97.45,Mission Of The Sun Hotel
385,Fort Frances,CA,77.0,clear sky,48.6,-93.4,LA PLACE RENDEZ-VOUS
390,Gangawati,IN,76.96,overcast clouds,15.43,76.53,Ashoka
398,Balabac,PH,81.12,overcast clouds,7.99,117.06,Sing and Swing Lodge
402,Cayenne,GF,84.2,few clouds,4.93,-52.33,Hôtel Le Dronmi
406,Iralaya,HN,89.6,scattered clouds,15.0,-83.23,Iglesia morava renovada
407,Lishui,CN,76.48,overcast clouds,28.46,119.91,Bayi Hotel
411,Creel,MX,79.21,broken clouds,27.75,-107.63,The Lodge at Creel Hotel & SPA
419,Almaznyy,RU,75.2,few clouds,48.04,40.05,
420,Lucea,JM,86.0,scattered clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
423,Todos Santos,MX,81.0,clear sky,23.45,-110.22,Hotel California Todos Santos
424,Tuku,TW,84.0,scattered clouds,23.68,120.39,雲林商務旅館—芳斯華
427,Tizapan El Alto,MX,82.99,scattered clouds,20.17,-103.07,Hotel Posada San Francisco
428,Emba,KZ,86.99,broken clouds,48.83,58.14,
429,Kazerun,IR,81.34,clear sky,29.62,51.65,آپارتمان بزرگ اویسا
436,Montale,IT,75.0,scattered clouds,43.94,11.02,Albergo Il Cochino
441,Itoman,JP,82.4,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
450,Lorengau,PG,81.52,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
454,Cabra,ES,89.6,clear sky,37.47,-4.44,MS Fuente Las Piedras
463,Sangamner,IN,76.19,overcast clouds,19.57,74.22,Panchavati Group of Hotels & Motels
466,New Ulm,US,80.01,clear sky,44.31,-94.46,Best Western Plus New Ulm
468,Eyl,SO,82.65,scattered clouds,7.98,49.82,Amiin Hotel
469,Gazli,UZ,84.76,clear sky,40.13,63.45,
470,Jian,CN,78.22,overcast clouds,27.12,114.98,Luling International Hotel
471,Matiguas,NI,77.0,broken clouds,12.84,-85.46,Hotel Bethel
472,Jalu,LY,77.25,clear sky,29.03,21.55,Jalu Hotel
473,Half Moon Bay,US,90.0,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
474,Merauke,ID,77.04,broken clouds,-8.47,140.33,
475,Beberibe,BR,80.6,scattered clouds,-4.18,-38.13,Villa Arte Pousada Morro Branco
476,Escanaba,US,75.2,scattered clouds,45.75,-87.06,Sunset Lodge
478,Muisne,EC,76.39,overcast clouds,0.6,-80.03,Quinta Samay
481,Harper,LR,75.15,broken clouds,4.38,-7.72,Screensaver
483,Sao Joao Da Barra,BR,77.0,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
486,Touros,BR,78.8,few clouds,-5.2,-35.46,INN NEW HORIZON
487,Biak,ID,75.96,few clouds,-0.91,122.88,Kost Ariz
492,Ranau,MY,75.2,few clouds,5.95,116.66,Ranau Backpackers Hostel
498,Flin Flon,CA,75.2,broken clouds,54.77,-101.86,Victoria Inn Flin Flon
503,Arcachon,FR,77.0,clear sky,44.59,-1.05,Hôtel All Suites Le Teich
504,Lompoc,US,78.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
507,Meulaboh,ID,76.26,overcast clouds,4.14,96.13,Kost Pria
514,Fereydun Kenar,IR,77.0,broken clouds,36.69,52.52,Khezer Shahr Tourist Hotel
522,Mehran,IR,78.8,clear sky,33.12,46.16,زائرسرای نور
523,Passo De Camaragibe,BR,77.0,few clouds,-9.24,-35.49,Pousada Divino Milagre
524,Basoko,CD,75.0,overcast clouds,1.24,23.62,Flat Hotel La Benediction
526,Mayor Pablo Lagerenza,PY,87.8,broken clouds,-19.93,-60.77,
528,Sorong,ID,76.03,clear sky,-0.88,131.25,The Waigo Hotel
529,The Valley,AI,87.8,haze,18.22,-63.06,CeBlue Villas & Beach Resort
530,Mayo,US,87.01,scattered clouds,38.89,-76.51,Resorts Resource Group International
531,Westport,US,88.0,clear sky,41.14,-73.36,The Westport Inn
532,Nantucket,US,80.01,clear sky,41.28,-70.1,Jared Coffin House
534,Mozelos,PT,80.01,clear sky,41.87,-8.4,Casa do Rio Vez - Alojamento de Charme
536,Sri Aman,MY,75.2,overcast clouds,1.24,111.46,Seri Simanggang Hotel
537,Kibala,TD,75.85,overcast clouds,9.11,18.35,
538,Tukrah,LY,75.54,clear sky,32.53,20.58,استراحة لاقروتا
